GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
LegoHouseProject,DBAccess,OrderMapper,294,0,6,0,72,0,9,0,6,0
LegoHouseProject,DBAccess,UserMapper,90,47,0,2,28,13,3,2,3,1
LegoHouseProject,DBAccess,Connector,11,7,1,1,3,4,2,2,1,2
LegoHouseProject,FunctionLayer,Styklist,38,0,0,0,12,0,6,0,6,0
LegoHouseProject,FunctionLayer,LoginSampleException,0,4,0,0,0,2,0,1,0,1
LegoHouseProject,FunctionLayer,LogicFacade,179,0,4,0,42,0,11,0,9,0
LegoHouseProject,FunctionLayer,Order,96,0,2,0,23,0,13,0,12,0
LegoHouseProject,FunctionLayer,OrderSampleException,4,0,0,0,2,0,1,0,1,0
LegoHouseProject,FunctionLayer,User,15,25,0,0,7,10,4,5,4,5
LegoHouseProject,PresentationLayer,FinalizeOrder,71,0,6,0,14,0,5,0,2,0
LegoHouseProject,PresentationLayer,FrontController,52,0,0,0,14,0,5,0,5,0
LegoHouseProject,PresentationLayer,OrderHistory,27,0,0,0,8,0,2,0,2,0
LegoHouseProject,PresentationLayer,Logout,42,0,0,0,12,0,2,0,2,0
LegoHouseProject,PresentationLayer,MainPage,65,0,6,0,14,0,5,0,2,0
LegoHouseProject,PresentationLayer,Command,86,0,2,0,16,0,4,0,3,0
LegoHouseProject,PresentationLayer,OrderStatus,27,0,0,0,8,0,2,0,2,0
LegoHouseProject,PresentationLayer,Register,56,0,6,0,11,0,5,0,2,0
LegoHouseProject,PresentationLayer,ShowStykliste,44,0,0,0,11,0,2,0,2,0
LegoHouseProject,PresentationLayer,Orders,17,0,0,0,5,0,2,0,2,0
LegoHouseProject,PresentationLayer,UnknownCommand,10,0,0,0,3,0,2,0,2,0
LegoHouseProject,PresentationLayer,Login,48,0,2,0,11,0,3,0,2,0
